trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
630,False,"{'a': 0.002, 'e': 0.28422190223921745}",25,14,19.825192679583544,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.002, 'e': 0.2836540264997704}",25,19,9.826330017548756,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.002, 'e': 0.2830872853768075}",35,12,-25.33033613908425,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
633,False,"{'a': 0.002, 'e': 0.2825216766033636}",30,3,19.486257069679514,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 0}",1
634,False,"{'a': 0.002, 'e': 0.28195719791700274}",20,0,-56.262383197271575,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
635,False,"{'a': 0.002, 'e': 0.2813938470598095}",25,18,-10.247674550439205,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
636,False,"{'a': 0.002, 'e': 0.2808316217783798}",20,0,-1.9673634839551748,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
637,False,"{'a': 0.002, 'e': 0.28027051982381157}",30,21,-6.139641944090576,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
638,False,"{'a': 0.002, 'e': 0.27971053895169634}",25,13,20.66361693493917,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
639,False,"{'a': 0.002, 'e': 0.27915167692210985}",25,0,-9.551558408389091,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
640,False,"{'a': 0.002, 'e': 0.27859393149960326}",20,0,10.354529135682835,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
641,False,"{'a': 0.002, 'e': 0.27803730045319414}",25,14,10.26839990148021,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
642,False,"{'a': 0.002, 'e': 0.2774817815563575}",20,0,-37.79201981037402,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
643,False,"{'a': 0.002, 'e': 0.2769273725870171}",25,14,10.316674813471685,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
644,False,"{'a': 0.002, 'e': 0.27637407132753633}",30,8,-139.90594098625382,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 4}",1
645,False,"{'a': 0.002, 'e': 0.27582187556470933}",25,5,7.086112661676133,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
646,False,"{'a': 0.002, 'e': 0.27527078308975234}",20,13,10.507026706866876,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.002, 'e': 0.2747207916982947}",25,15,15.874970645494258,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.002, 'e': 0.2741718991903702}",30,17,13.1825336289508,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.002, 'e': 0.27362410337040804}",30,16,12.750659604000337,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
650,False,"{'a': 0.002, 'e': 0.2730774020472242}",25,9,-75.78429319902806,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 2}",1
651,False,"{'a': 0.002, 'e': 0.2725317930340126}",35,8,-21.238994283519965,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 1}",1
652,False,"{'a': 0.002, 'e': 0.2719872741483365}",25,12,12.561296972485513,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
653,False,"{'a': 0.002, 'e': 0.27144384321211973}",25,10,-20.165949178804695,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
654,False,"{'a': 0.002, 'e': 0.27090149805163766}",25,13,-10.496518555046997,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
655,False,"{'a': 0.002, 'e': 0.270360236497509}",20,6,14.024730746461314,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
656,False,"{'a': 0.002, 'e': 0.2698200563846868}",30,18,1.39383195737277,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
657,False,"{'a': 0.002, 'e': 0.26928095555244996}",30,14,3.385091952181816,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
658,False,"{'a': 0.002, 'e': 0.26874293184439435}",20,8,-5.207108447652037,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
659,False,"{'a': 0.002, 'e': 0.2682059831084244}",20,13,12.155373394333967,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.002, 'e': 0.26767010719674456}",30,2,1.5548538137693042,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 0}",1
661,False,"{'a': 0.002, 'e': 0.26713530196585034}",20,16,7.506089616487713,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.002, 'e': 0.2666015652765202}",25,11,15.740438519264753,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.002, 'e': 0.26606889499380665}",20,6,13.21765142479029,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.002, 'e': 0.2655372889870278}",20,15,9.143870475862684,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.002, 'e': 0.2650067451297589}",25,0,-42.05384966805368,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
666,False,"{'a': 0.002, 'e': 0.26447726129982396}",20,7,-6.252835873054471,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
667,False,"{'a': 0.002, 'e': 0.2639488353792868}",20,10,10.760255737831336,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
668,False,"{'a': 0.002, 'e': 0.2634214652544431}",30,16,22.427429019374372,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.002, 'e': 0.26289514881581166}",20,4,-51.11061639997861,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
670,False,"{'a': 0.002, 'e': 0.262369883958126}",30,2,38.06162170452166,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.002, 'e': 0.261845668580326}",30,13,19.70647028750248,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
672,False,"{'a': 0.002, 'e': 0.2613225005855494}",25,20,8.21664592489375,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.002, 'e': 0.26080037788112365}",30,9,25.281595955712707,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
674,False,"{'a': 0.002, 'e': 0.2602792983785571}",25,11,-18.22183615557935,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
675,False,"{'a': 0.002, 'e': 0.2597592599935311}",20,14,2.186689564102209,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
676,False,"{'a': 0.002, 'e': 0.2592402606458915}",25,15,18.00735980329916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.002, 'e': 0.25872229825964005}",30,9,-2.571743808119502,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
678,False,"{'a': 0.002, 'e': 0.25820537076292666}",25,13,23.890324201690124,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.002, 'e': 0.25768947608804055}",20,11,15.527043524425174,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.002, 'e': 0.2571746121714024}",25,11,18.672119046365918,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.002, 'e': 0.2566607769535559}",35,19,-15.457190728198004,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
682,False,"{'a': 0.002, 'e': 0.2561479683791593}",35,23,17.975400229064842,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.002, 'e': 0.25563618439697783}",25,17,13.167673479331215,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.002, 'e': 0.2551254229598748}",25,15,21.65235230383131,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.002, 'e': 0.2546156820248037}",25,16,11.81105068171028,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.002, 'e': 0.25410695955280027}",35,8,-2.8646966897994792,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",1
687,False,"{'a': 0.002, 'e': 0.25359925350897383}",25,19,-29.12850453522753,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
688,False,"{'a': 0.002, 'e': 0.25309256186249957}",25,0,-1.5818274578562108,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
689,False,"{'a': 0.002, 'e': 0.2525868825866102}",20,12,16.913150476337208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.002, 'e': 0.25208221365858796}",35,12,22.300742613605,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
691,False,"{'a': 0.002, 'e': 0.25157855305975646}",25,15,-0.829354152086671,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
692,False,"{'a': 0.002, 'e': 0.25107589877547265}",25,14,16.902377749131425,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.002, 'e': 0.25057424879511875}",20,12,12.162045554713337,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.002, 'e': 0.2500736011120941}",20,0,28.966882323980478,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
695,False,"{'a': 0.002, 'e': 0.24957395372380728}",20,13,12.031397417196233,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.002, 'e': 0.24907530463166816}",20,11,12.878442780164795,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.002, 'e': 0.24857765184107966}",20,0,11.032115039464573,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
698,False,"{'a': 0.002, 'e': 0.24808099336142997}",20,6,23.526925034334848,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.002, 'e': 0.2475853272060845}",20,15,10.336385320413232,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.002, 'e': 0.24709065139237796}",25,11,4.07624263775212,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
701,False,"{'a': 0.002, 'e': 0.24659696394160643}",30,13,17.459974476729748,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.002, 'e': 0.2461042628790195}",20,15,9.780991163152278,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.002, 'e': 0.2456125462338122}",30,14,15.88348834966724,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
704,False,"{'a': 0.002, 'e': 0.24512181203911731}",25,12,13.171282668093522,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
705,False,"{'a': 0.002, 'e': 0.2446320583319975}",20,13,14.587986273115877,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.002, 'e': 0.2441432831534371}",30,18,12.43619954311923,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
